FarmID ,  ParcelID  , Lat        , Lon         , Farm Name               ,  Amount  ,  Weight  ,  Muscle  ,    Fat   ,Features , Front   ,    Leg   ,  Wool , Total
1406601 , 140660    , 65.85334717, -23.34726824, Ketilseyri              ,    348   ,    38.6  ,   26.3   ,    3.1   ,   3.8   ,  8.2    ,    17.2  ,  8.1  ,  33.4
1421531 , 142153    , 65.55367498, -21.46699484, Stóra-Fjarðarhorn       ,    185   ,    43.4  ,   30.1   ,    2.9   ,   3.9   ,  8.3    ,    17.4  ,  8.4  ,  34.0
1421271 , 142127    , 65.64445158, -21.47438356, Smáhamrar 2             ,    269   ,    45.5  ,   29.4   ,    3.5   ,   4.1   ,  8.5    ,    17.6  ,  8.0  ,  34.1
1421401 , 142140    ,  65.5972086,  -21.3647344, Broddanes 1             ,    156   ,    42.1  ,   28.9   ,    3.8   ,   3.9   ,  8.5    ,    17.6  ,  8.0  ,  34.0
1417431 , 141743    , 65.76364944, -21.68481846, Bassastaðir             ,    173   ,    45.6  ,   28.8   ,    3.8   ,   4.1   ,  8.4    ,    17.7  ,  8.1  ,  34.2
1416391 , 141639    , 66.03174096, -22.34318959, Skjaldfönn              ,     86   ,    48.3  ,   28.6   ,    3.7   ,   3.8   ,  8.4    ,    17.3  ,  7.5  ,  33.2
1421241 , 142124    , 65.62891224,  -21.6226772, Miðdalsgröf             ,    237   ,    40.4  ,   28.1   ,    3.1   ,   4.1   ,  8.3    ,    17.3  ,  8.2  ,  33.8
1421601 , 142160    ,   65.480028, -21.43583575, Gröf                    ,    132   ,    43.6  ,   28.1   ,    3.5   ,   3.9   ,  8.3    ,    17.1  ,  8.3  ,  33.7
1421151 , 142115    , 65.64662375, -21.64296164, Húsavík                 ,    215   ,    41.8  ,   27.9   ,    2.9   ,   3.9   ,  8.2    ,    17.3  ,  8.1  ,  33.6
1416671 , 141667    , 66.00884379, -21.50225106, Bær                     ,    205   ,    40.1  ,   27.7   ,    3.1   ,   3.7   ,  8.3    ,    17.3  ,  8.0  ,  33.5
1422111 , 142211    ,  65.2580505, -21.19136044, Laxárdalur 3            ,    212   ,    43.4  ,   27.7   ,    3.4   ,   4.1   ,  8.2    ,    17.3  ,  8.2  ,  33.7
1421131 , 142113    , 65.63584479, -21.52976769, Heydalsá 1 og 3         ,    360   ,    42.4  ,   27.4   ,    2.5   ,   3.8   ,  8.3    ,    17.3  ,  8.3  ,  33.9
1416951 , 141695    , 66.02658254, -21.54336055, Melar 1                 ,    150   ,    39.5  ,   27.4   ,    3.1   ,   3.9   ,  8.4    ,    17.7  ,  8.0  ,  34.0
1421311 , 142131    ,  65.6282017, -21.69096305, Tröllatunga             ,    234   ,    41.3  ,   27.2   ,    2.7   ,   3.7   ,  8.2    ,    17.3  ,  8.0  ,  33.5
1421851 , 142185    , 65.28871682, -21.19698915, Bær 2                   ,    154   ,    43.4  ,   27.2   ,    4.0   ,   3.9   ,  8.3    ,    17.3  ,  8.1  ,  33.5
1421351 , 142135    , 65.63834702,  -21.4719633, Þorpar                  ,    186   ,    41.3  ,   27.0   ,    3.3   ,   4.0   ,  8.3    ,    17.2  ,  8.2  ,  33.7
1416921 , 141692    , 66.04705974, -21.50367436, Krossnes                ,     74   ,    39.4  ,   26.8   ,    3.0   ,   3.7   ,  8.3    ,    17.0  ,  8.1  ,  33.3
1422311 , 142231    , 65.18262946, -21.10043364, Valdasteinsstaðir       ,    157   ,    42.9  ,   26.6   ,    2.9   ,   3.8   ,  8.1    ,    17.1  ,  7.9  ,  33.1
1418831 , 141883    , 65.73028167, -21.68752412, Ytri-Ós                 ,    152   ,    39.6  ,   26.6   ,    3.3   ,   3.9   ,  8.1    ,    17.1  ,  8.2  ,  33.4
1422051 , 142205    , 65.35127361, -21.18756034, Kollsá 2                ,    135   ,    42.5  ,   26.6   ,    3.8   ,   3.9   ,  8.3    ,    17.2  ,  8.4  ,  33.9
1416651 , 141665    , 66.01224827, -21.51417939, Árnes 2                 ,     51   ,    40.4  ,   26.4   ,    3.5   ,   3.7   ,  8.5    ,    17.4  ,  8.0  ,  33.8
1421581 , 142158    , 65.51916752, -21.31875389, Bræðrabrekka            ,    116   ,    41.2  ,   26.3   ,    3.4   ,   3.9   ,  8.1    ,    16.8  ,  8.2  ,  33.0
1416941 , 141694    , 66.02132126, -21.42339632, Litla Ávík              ,     73   ,    39.4  ,   26.1   ,    2.9   ,   3.6   ,  8.2    ,    17.2  ,  8.4  ,  33.7
1422251 , 142225    , 65.45751628, -21.27179327, Skálholtsvík 2          ,    237   ,    41.3  ,   26.1   ,    3.9   ,   3.6   ,  8.3    ,    17.2  ,  8.0  ,  33.4
1422141 , 142214    , 65.30571753, -21.19930348, Ljótunnarstaðir 1       ,     51   ,    38.3  ,   26.0   ,    3.5   ,   3.8   ,  8.1    ,    16.7  ,  8.1  ,  32.9
1441001 , 144100    , 65.31034665, -20.84391834, Bergsstaðir             ,    176   ,    43.4  ,   30.1   ,    3.6   ,   4.2   ,  8.6    ,    17.7  ,  7.8  ,  34.1
1441611 , 144161    , 65.29326623, -20.82876788, Syðri-Urriðaá           ,    184   ,    42.2  ,   29.4   ,    3.1   ,   4.5   ,  8.4    ,    17.5  ,  7.8  ,  33.7
1444571 , 144457    , 65.56410658, -20.93706157, Bergsstaðir             ,    159   ,    42.8  ,   29.2   ,    2.8   ,   4.0   ,  8.4    ,    17.4  ,  7.9  ,  33.7
1440161 , 144016    , 65.13107232, -21.05552384, Bálkastaðir 1           ,    100   ,    42.6  ,   28.9   ,    3.3   ,   4.1   ,  8.1    ,    17.1  ,  7.9  ,  33.1
1441411 , 144141    , 65.31130035, -21.05585045, Mýrar 2                 ,    242   ,    42.7  ,   28.8   ,    3.1   ,   4.3   ,  8.4    ,    17.3  ,  7.8  ,  33.5
1441442 , 144144    , 65.30313836, -20.83972594, Neðri-Torfustaðir       ,    112   ,    42.5  ,   28.6   ,    3.1   ,   4.1   ,  8.3    ,    17.3  ,  8.0  ,  33.5
